run_number,ttft_s,generation_time_s,tokens_per_sec,gpu_utilization_percent,total_gpu_memory_gb
1,0.050926946103572845,29.880505118519068,25.668910112387483,96,73.798095703125
2,0.05040919408202171,29.860280018299818,25.686296294942494,97,73.798095703125
3,0.05076724663376808,29.90469690784812,25.648144917285897,97,73.798095703125
4,0.05101054161787033,29.930871050804853,25.625715960557553,97,73.798095703125
5,0.05138587951660156,29.92850497364998,25.627741869341335,97,73.798095703125
6,0.049136556684970856,29.944614484906197,25.613954735887884,97,73.798095703125
7,0.05303890258073807,29.94864496216178,25.610507619595346,97,73.798095703125
8,0.04864738881587982,29.950182136148214,25.609193176634253,97,73.798095703125
9,0.04907852038741112,29.952441085129976,25.607261786111337,96,73.798095703125
10,0.048995491117239,29.9409912340343,25.617054358846392,97,73.798095703125
,,,,,
Average,0.05033966675400734,29.924173197150232,25.631478083159,96.8,73.798095703125
Std Dev,0.0013065848870922462,0.030343515060591006,0.026017409232863782,0.4,0.0
