run_number,ttft_s,generation_time_s,tokens_per_sec,gpu_utilization_percent,total_gpu_memory_gb
1,0.034252612851560116,16.490105440141633,46.51274079381582,94,73.58837890625
2,0.031845277873799205,16.38529222505167,46.810272863325835,93,73.58837890625
3,0.03375371382571757,16.51298834802583,46.44828566670047,93,73.58837890625
4,0.03617485915310681,16.413103261962533,46.73095561261271,93,73.58837890625
5,0.040145162027329206,16.320569902891293,46.99590789805208,93,73.58837890625
6,0.03108019195497036,16.300036738160998,47.05510866759767,93,73.58837890625
7,0.035278432071208954,16.300106768030673,47.05490650553981,93,73.58837890625
8,0.03081091190688312,16.284094053087756,47.10117722849697,94,73.58837890625
9,0.03062329301610589,16.345055288868025,46.925506610086146,93,73.58837890625
10,0.03364186594262719,16.28792087500915,47.09011087945681,94,73.58837890625
,,,,,
Average,0.03376063206233084,16.363927290122955,46.87249727256843,93.3,73.58837890625
Std Dev,0.0028026365561735172,0.07972217958583602,0.22750748460801787,0.45825756949558405,0.0
