run_number,ttft_s,generation_time_s,tokens_per_sec,gpu_utilization_percent,total_gpu_memory_gb
1,0.04592371080070734,26.802145448047668,28.61711206987984,94,73.57275390625
2,0.04477093298919499,26.87798666092567,28.536363592851963,91,73.57275390625
3,0.04521050211042166,26.845258675981313,28.57115326239123,96,73.57275390625
4,0.04483087291009724,26.90820861211978,28.50431297959144,96,73.57275390625
5,0.050443419022485614,27.032253158977255,28.373513502158207,95,73.57275390625
6,0.045322611927986145,26.788493594154716,28.631695817616276,96,73.57275390625
7,0.045737650943920016,26.80027115298435,28.61911342693973,96,73.57275390625
8,0.04451566399075091,26.775930735981092,28.64512937245229,97,73.57275390625
9,0.04514503199607134,26.805814907886088,28.613194660773168,96,73.57275390625
10,0.04480771301314235,26.79554965090938,28.62415624954235,96,73.57275390625
,,,,,
Average,0.04567081097047776,26.843191259796733,28.57357449341965,95.3,73.57275390625
Std Dev,0.0016446994506364432,0.07476367665874878,0.07925140174566797,1.6155494421403513,0.0
