run_number,ttft_s,generation_time_s,tokens_per_sec,gpu_utilization_percent,total_gpu_memory_gb
1,0.036449871957302094,21.418917935341597,35.809465366802506,95,42.532958984375
2,0.03564484417438507,21.411119528114796,35.822507972684825,95,42.532958984375
3,0.03636811673641205,21.414099887013435,35.81752228890772,95,42.532958984375
4,0.03553060069680214,21.41487792134285,35.816220985111464,95,42.532958984375
5,0.039129920303821564,21.40916184708476,35.825783628444135,95,42.532958984375
6,0.03494057059288025,21.412213187664747,35.82067828662649,95,42.532958984375
7,0.03460394963622093,21.41316293179989,35.81908952184532,95,42.532958984375
8,0.03496135398745537,21.426578734070063,35.79666215121901,95,42.532958984375
9,0.03485400974750519,21.431121703237295,35.78907397479527,95,42.532958984375
10,0.0346534326672554,21.408646397292614,35.8266461954828,95,42.532958984375
,,,,,
Average,0.035713667050004005,21.415990007296205,35.814365037191955,95.0,42.532958984375
Std Dev,0.0013014442619000393,0.007078150032600073,0.011832776120499454,0.0,0.0
